Tstamp,Str,Thr,RrLH,FrLH,Fr,FrRH,RrRH
1761031423.43,      0.00,      0.00,    589.00,    622.00,   1079.00,   2000.00,    591.00
1761031423.50,      0.00,     40.00,    589.00,    627.00,   1032.00,    905.00,    591.00
1761031423.57,      0.00,     40.00,    593.00,    331.00,    647.00,    594.00,    591.00
1761031423.64,      0.00,     40.00,    589.00,    626.00,   2000.00,    578.00,    299.00
1761031423.72,      0.00,     40.00,    592.00,    626.00,   1111.00,   2000.00,    591.00
1761031423.79,      0.00,     40.00,    588.00,    627.00,    816.00,   1012.00,    592.00
1761031423.86,      0.00,     40.00,    592.00,    635.00,   1413.00,   1015.00,    596.00
1761031423.93,      0.00,     40.00,    588.00,    632.00,    552.00,   1053.00,    416.00
1761031424.00,      0.00,     40.00,    591.00,    632.00,   1122.00,   1153.00,    590.00
1761031424.08,      0.00,     40.00,    592.00,    645.00,   2000.00,   2000.00,    593.00
1761031424.17,      0.00,     40.00,    564.00,    635.00,   1500.00,   2000.00,    586.00
1761031424.25,     30.00,     40.00,    594.00,    645.00,   1480.00,   2000.00,    583.00
1761031424.32,      0.00,     40.00,    420.00,    386.00,   1129.00,    639.00,    586.00
1761031424.39,      0.00,     40.00,    418.00,    665.00,   1113.00,   1035.00,    582.00
1761031424.45,      0.00,     40.00,    600.00,    669.00,   1075.00,    657.00,    438.00
1761031424.53,      0.00,     40.00,    629.00,    657.00,   1739.00,    950.00,    575.00
1761031424.60,     30.00,     40.00,    609.00,    388.00,    516.00,    904.00,    230.00
1761031424.67,      0.00,     40.00,    433.00,   1693.00,    958.00,    612.00,    575.00
1761031424.74,      0.00,     40.00,    448.00,    664.00,    517.00,    852.00,    569.00
1761031424.81,      0.00,     40.00,    602.00,   1194.00,    903.00,    801.00,    569.00
1761031424.88,     30.00,     40.00,    602.00,    764.00,   1022.00,    788.00,    577.00
1761031424.97,     30.00,     40.00,    609.00,   2000.00,    429.00,   2000.00,    565.00
1761031425.04,      0.00,     40.00,    605.00,    621.00,   1443.00,    687.00,    570.00
1761031425.11,      0.00,     40.00,    491.00,    377.00,   1161.00,    703.00,    576.00
1761031425.19,      0.00,     40.00,    605.00,    919.00,   1516.00,   2000.00,    569.00
1761031425.26,      0.00,     40.00,    604.00,    666.00,   1594.00,    679.00,    575.00
1761031425.34,      0.00,     40.00,    602.00,    685.00,   1111.00,   1757.00,    576.00
1761031425.42,    -30.00,     40.00,    596.00,    494.00,   1287.00,   1526.00,    573.00
1761031425.49,    -30.00,     40.00,    599.00,    645.00,   1616.00,   1086.00,    574.00
1761031425.56,    -30.00,     40.00,    594.00,    685.00,    992.00,    909.00,    580.00
1761031425.63,      0.00,     40.00,    594.00,    858.00,    959.00,   1020.00,    608.00
1761031425.70,      0.00,     40.00,    598.00,    803.00,    339.00,    802.00,    574.00
1761031425.78,      0.00,     40.00,    601.00,    683.00,    873.00,   1319.00,    571.00
1761031425.85,      0.00,     40.00,    612.00,    819.00,   1563.00,    687.00,    311.00
1761031425.92,      0.00,     40.00,    614.00,    991.00,    397.00,    795.00,    565.00
1761031425.99,    -30.00,     40.00,    621.00,    743.00,    817.00,    619.00,    562.00
1761031426.06,      0.00,     40.00,    626.00,   1486.00,    226.00,    603.00,    559.00
1761031426.13,     30.00,     40.00,    529.00,    400.00,   2000.00,    608.00,    442.00
1761031426.20,     30.00,     40.00,    638.00,   1763.00,   1266.00,    594.00,    555.00
1761031426.28,      0.00,     40.00,    647.00,   1305.00,    978.00,    590.00,    554.00
1761031426.34,     30.00,     40.00,    596.00,   1266.00,    235.00,    591.00,    550.00
1761031426.42,      0.00,     40.00,    659.00,   1371.00,    511.00,   2000.00,    553.00
1761031426.49,     30.00,     40.00,    426.00,    450.00,   1004.00,    735.00,    556.00
1761031426.57,     30.00,     40.00,    690.00,   1004.00,    360.00,   2000.00,    554.00
1761031426.65,      0.00,     40.00,    699.00,    468.00,   2000.00,   1873.00,    556.00
1761031426.72,     30.00,     40.00,    719.00,    533.00,    669.00,   2000.00,    555.00
1761031426.80,     30.00,     40.00,    748.00,    696.00,   1216.00,    939.00,    555.00
1761031426.87,      0.00,     40.00,    759.00,    523.00,    678.00,   1058.00,    579.00
1761031426.94,      0.00,     40.00,    797.00,   1391.00,    203.00,   1028.00,    569.00
1761031427.01,      0.00,     40.00,    638.00,    987.00,    843.00,    974.00,    576.00
1761031427.08,      0.00,     40.00,    907.00,    347.00,    896.00,    928.00,    197.00
1761031427.15,    -30.00,     40.00,    998.00,    872.00,    952.00,    939.00,    586.00
1761031427.22,    -30.00,     40.00,    865.00,    698.00,   1156.00,    919.00,    599.00
1761031427.29,      0.00,     40.00,    999.00,    806.00,    423.00,    471.00,    228.00
1761031427.36,      0.00,     40.00,   1118.00,    640.00,    356.00,    801.00,    607.00
1761031427.43,      0.00,     40.00,    640.00,    361.00,   1279.00,    752.00,    603.00
1761031427.50,    -30.00,     40.00,    860.00,    428.00,    995.00,    690.00,    606.00
1761031427.57,      0.00,     40.00,    802.00,    685.00,    376.00,    695.00,    612.00
1761031427.64,      0.00,     40.00,   1113.00,    685.00,    877.00,    695.00,    604.00
1761031427.71,      0.00,     40.00,    820.00,    663.00,    741.00,    664.00,    605.00
1761031427.78,      0.00,     40.00,    659.00,    674.00,   1518.00,    668.00,    614.00
1761031427.85,      0.00,     40.00,    616.00,    861.00,   1227.00,    646.00,    605.00
1761031427.93,      0.00,     40.00,    632.00,   1261.00,   2000.00,    635.00,    604.00
1761031428.00,     30.00,     40.00,    602.00,    823.00,   1251.00,    624.00,    594.00
1761031428.07,     30.00,     40.00,    614.00,   1232.00,    654.00,    621.00,    587.00
1761031428.14,      0.00,     40.00,    629.00,    848.00,    958.00,    632.00,    584.00
1761031428.21,      0.00,     40.00,    643.00,   1153.00,    745.00,    636.00,    584.00
1761031428.28,      0.00,     40.00,    827.00,    349.00,    904.00,   1067.00,    590.00
1761031428.35,     30.00,     40.00,   1055.00,    670.00,    643.00,    615.00,    581.00
1761031428.43,      0.00,     40.00,   1105.00,    948.00,    223.00,   2000.00,    591.00
1761031428.51,      0.00,     40.00,    767.00,    895.00,   1057.00,   2000.00,    590.00
1761031428.59,      0.00,     40.00,   1002.00,    370.00,   1459.00,    948.00,    601.00
1761031428.66,      0.00,     40.00,   1004.00,    349.00,   1306.00,   1233.00,    606.00
1761031428.73,      0.00,     40.00,    826.00,    805.00,    650.00,   1027.00,    604.00
1761031428.80,      0.00,     40.00,    819.00,    349.00,    938.00,   1080.00,    607.00
1761031428.87,    -30.00,     40.00,   1003.00,    296.00,    916.00,   1030.00,    610.00
1761031428.94,    -30.00,     40.00,   1103.00,    821.00,    223.00,   1015.00,    623.00
1761031429.02,      0.00,     40.00,   1055.00,    713.00,    713.00,   1061.00,    621.00
1761031429.09,      0.00,     40.00,   1102.00,    763.00,    439.00,   1131.00,    626.00
1761031429.16,    -30.00,     40.00,   1123.00,    737.00,    579.00,   1081.00,    621.00
1761031429.24,    -30.00,     40.00,    611.00,   1707.00,    766.00,    627.00,    619.00
1761031429.31,      0.00,     40.00,    595.00,    932.00,    612.00,    781.00,    540.00
1761031429.37,      0.00,     40.00,    491.00,    472.00,    479.00,    484.00,    278.00
1761031429.45,      0.00,     40.00,    614.00,   1589.00,   1982.00,    654.00,    610.00
1761031429.52,      0.00,     40.00,    632.00,    606.00,   1531.00,    685.00,    607.00
1761031429.59,      0.00,     40.00,    693.00,    771.00,    543.00,    484.00,    595.00
1761031429.66,     30.00,     40.00,   1106.00,    545.00,   1402.00,    629.00,    608.00
1761031429.74,     30.00,     40.00,    749.00,   1108.00,   2000.00,    601.00,    578.00
1761031429.81,      0.00,     40.00,   1152.00,    678.00,   1583.00,    585.00,    563.00
1761031429.88,      0.00,     40.00,    524.00,    351.00,   1191.00,    575.00,    556.00
1761031429.95,      0.00,     40.00,   1050.00,    402.00,   1364.00,    580.00,    555.00
1761031430.02,      0.00,     40.00,    869.00,    352.00,   1222.00,    584.00,    553.00
1761031430.09,      0.00,     40.00,   1044.00,    484.00,   1070.00,   1055.00,    543.00
1761031430.16,      0.00,     40.00,   1070.00,    363.00,   1526.00,    698.00,    556.00
1761031430.23,      0.00,     40.00,   1071.00,    864.00,    724.00,    545.00,    466.00
1761031430.31,      0.00,     40.00,   1135.00,    349.00,   1154.00,   1080.00,    553.00
1761031430.37,      0.00,     40.00,    845.00,    906.00,    826.00,    507.00,    426.00
1761031430.45,      0.00,     40.00,    889.00,    351.00,   1213.00,   1061.00,    573.00
1761031430.52,      0.00,     40.00,   1105.00,    756.00,    857.00,    667.00,    353.00
1761031430.58,      0.00,     40.00,    792.00,    840.00,    692.00,    661.00,    376.00
1761031430.66,    -97.00,     40.00,    778.00,   1513.00,    407.00,   1065.00,    639.00
1761031430.72,    -76.00,     40.00,    756.00,    694.00,    703.00,    704.00,    313.00
1761031430.79,      0.00,     40.00,    750.00,    710.00,    631.00,    482.00,    338.00
1761031430.86,      0.00,     40.00,    748.00,    724.00,    553.00,    659.00,    498.00
1761031430.92,      0.00,     40.00,    764.00,    741.00,    489.00,    685.00,    397.00
1761031430.99,      0.00,     40.00,    789.00,    476.00,    703.00,    618.00,    722.00
