Tstamp,Str,Thr,RrLH,FrLH,Fr,FrRH,RrRH
1761122226.29,      0.00,      0.00,    681.00,    503.00,   1285.00,    553.00,    506.00
1761122226.36,      0.00,     70.00,    681.00,    569.00,   1182.00,    553.00,    505.00
1761122226.42,      0.00,     70.00,    680.00,    729.00,    698.00,    554.00,    506.00
1761122226.50,      0.00,     70.00,    681.00,    549.00,   2000.00,    552.00,    506.00
1761122226.56,      0.00,     70.00,    680.00,    145.00,    203.00,    552.00,    509.00
1761122226.62,      0.00,     70.00,    682.00,    354.00,   1038.00,    550.00,    461.00
1761122226.69,      0.00,     70.00,    682.00,    375.00,   1153.00,    549.00,    507.00
1761122226.77,      0.00,     70.00,    684.00,    953.00,   2000.00,    552.00,    500.00
1761122226.83,     13.00,     70.00,    686.00,    753.00,    377.00,    489.00,    499.00
1761122226.90,     27.00,     70.00,    688.00,    368.00,   1075.00,    543.00,    495.00
1761122226.97,     21.00,     70.00,    697.00,    905.00,    761.00,    552.00,    492.00
1761122227.04,     21.00,     70.00,    695.00,   1120.00,    832.00,    665.00,    494.00
1761122227.12,     48.00,     70.00,    703.00,   2000.00,   1368.00,    632.00,    487.00
1761122227.18,     49.00,     70.00,    724.00,    180.00,    218.00,    554.00,    449.00
1761122227.26,     17.00,     70.00,    710.00,   1110.00,   1084.00,    561.00,    493.00
1761122227.32,    -16.00,     70.00,    668.00,    765.00,    305.00,    555.00,    499.00
1761122227.40,    -65.00,     70.00,    691.00,    549.00,   2000.00,    903.00,    546.00
1761122227.48,      0.00,     70.00,    678.00,    742.00,   1898.00,    997.00,    436.00
1761122227.55,      0.00,     70.00,    662.00,    636.00,   1156.00,    777.00,    531.00
1761122227.62,      0.00,     70.00,    653.00,    696.00,   1265.00,    797.00,    537.00
1761122227.71,      0.00,     70.00,    654.00,    779.00,   2000.00,   2000.00,    450.00
1761122227.78,      0.00,     70.00,    654.00,    454.00,   2000.00,    485.00,    538.00
1761122227.86,      0.00,     70.00,    659.00,    622.00,   1417.00,    785.00,    543.00
1761122227.92,      0.00,     70.00,    665.00,    774.00,    979.00,    567.00,    538.00
1761122227.99,      0.00,     70.00,    694.00,    603.00,   1308.00,    572.00,    531.00
1761122228.06,      0.00,     70.00,    724.00,   1231.00,    265.00,    573.00,    531.00
1761122228.13,      0.00,     70.00,   1156.00,    221.00,    785.00,    550.00,    533.00
1761122228.20,    100.00,     70.00,   1102.00,    226.00,   1246.00,    537.00,    504.00
1761122228.27,     92.00,     70.00,    930.00,    872.00,    432.00,    515.00,    490.00
1761122228.34,      0.00,     70.00,   1040.00,    224.00,    974.00,    494.00,    475.00
1761122228.41,      0.00,     70.00,   1268.00,    960.00,   1176.00,    501.00,    479.00
1761122228.48,      0.00,     70.00,   1098.00,    508.00,   1066.00,    530.00,    473.00
1761122228.55,     69.00,     70.00,   1088.00,    248.00,   1375.00,    617.00,    485.00
1761122228.62,      0.00,     70.00,   1100.00,    788.00,    698.00,    558.00,    491.00
1761122228.69,      0.00,     70.00,   1096.00,    777.00,    821.00,    524.00,    507.00
1761122228.75,      0.00,     70.00,    753.00,     70.00,    723.00,    967.00,    529.00
1761122228.83,      0.00,     70.00,    698.00,    607.00,   1265.00,   2000.00,    523.00
1761122228.92,      0.00,     70.00,    697.00,   1224.00,   1904.00,   2000.00,    542.00
1761122229.00,      0.00,     70.00,    972.00,   1206.00,    689.00,   2000.00,    562.00
1761122229.07,      0.00,     70.00,   1098.00,    303.00,   1205.00,    827.00,    582.00
1761122229.14,      0.00,     70.00,    911.00,    381.00,   1216.00,   1001.00,    606.00
1761122229.22,    -18.00,     70.00,   1131.00,    436.00,   1230.00,   1170.00,    597.00
1761122229.29,   -100.00,     70.00,   1090.00,    300.00,   1272.00,    418.00,    650.00
1761122229.36,    -66.00,     70.00,    909.00,    370.00,    993.00,   1078.00,    670.00
1761122229.43,      0.00,     70.00,    923.00,    592.00,    720.00,    828.00,    360.00
1761122229.50,      0.00,     70.00,   1047.00,    576.00,    721.00,   1136.00,    692.00
1761122229.57,      0.00,     70.00,    412.00,    359.00,    822.00,    561.00,    404.00
1761122229.64,      0.00,     70.00,    562.00,   1336.00,   1358.00,    685.00,    661.00
1761122229.71,      0.00,     70.00,    523.00,    564.00,    812.00,    658.00,    640.00
1761122229.78,      0.00,     70.00,    852.00,    382.00,   1160.00,    632.00,    616.00
1761122229.85,      0.00,     70.00,    846.00,    356.00,   1179.00,    627.00,    608.00
1761122229.92,      0.00,     70.00,    900.00,   1047.00,    372.00,    570.00,    562.00
1761122230.00,      0.00,     70.00,   1156.00,    326.00,   1174.00,    539.00,    414.00
1761122230.06,      0.00,     70.00,   1091.00,    421.00,   1026.00,    524.00,    503.00
1761122230.14,      0.00,     70.00,    845.00,    356.00,   1038.00,    429.00,   2000.00
1761122230.21,      0.00,     70.00,    932.00,    412.00,   1008.00,   1063.00,    456.00
1761122230.28,      0.00,     70.00,    671.00,    308.00,    990.00,    487.00,    428.00
1761122230.36,      0.00,     70.00,    958.00,   1693.00,   2000.00,    714.00,    420.00
1761122230.43,      0.00,     70.00,   1199.00,    414.00,    155.00,    493.00,    440.00
1761122230.49,      0.00,     70.00,   1039.00,    373.00,    596.00,    552.00,    358.00
1761122230.56,    -75.00,     70.00,   1080.00,    988.00,   1151.00,    500.00,    428.00
1761122230.63,   -100.00,     70.00,   1056.00,   1105.00,    196.00,    484.00,    426.00
1761122230.70,      0.00,     70.00,   1173.00,   1514.00,    689.00,    461.00,    411.00
1761122230.77,      0.00,     70.00,    940.00,    345.00,    555.00,    477.00,    436.00
1761122230.83,      0.00,     70.00,    297.00,    308.00,    431.00,    411.00,    397.00
1761122230.91,      0.00,     70.00,   1043.00,    370.00,    846.00,   1114.00,    418.00
1761122230.98,      0.00,     70.00,   1088.00,    405.00,    641.00,   2000.00,    365.00
1761122231.05,      0.00,     70.00,   1107.00,    352.00,    994.00,    705.00,    325.00
1761122231.12,      0.00,     70.00,    415.00,    347.00,    902.00,    857.00,    646.00
1761122231.19,      0.00,     70.00,   1183.00,    787.00,    784.00,    589.00,    362.00
1761122231.25,      0.00,     70.00,   1134.00,    384.00,    679.00,    574.00,    380.00
1761122231.33,    -86.00,     70.00,   1082.00,   1047.00,    480.00,   1597.00,    436.00
1761122231.40,   -100.00,     70.00,    627.00,    108.00,    563.00,   1209.00,    479.00
1761122231.47,   -100.00,     70.00,   1017.00,    760.00,    442.00,    533.00,    521.00
1761122231.54,    -33.00,     70.00,    960.00,    929.00,    554.00,   2000.00,    550.00
1761122231.61,      0.00,     70.00,    922.00,    488.00,    661.00,   1388.00,    493.00
1761122231.68,      0.00,     70.00,    300.00,    354.00,    621.00,   1532.00,    563.00
1761122231.75,      0.00,     70.00,    285.00,    199.00,   1008.00,    603.00,    555.00
1761122231.82,      0.00,     70.00,    348.00,   1976.00,    668.00,    566.00,    543.00
1761122231.89,      0.00,     70.00,    938.00,   1092.00,    259.00,    549.00,    530.00
1761122231.96,      0.00,     70.00,    504.00,   1535.00,   2000.00,    533.00,    514.00
1761122232.04,      0.00,     70.00,    695.00,   2000.00,    889.00,    515.00,    502.00
1761122232.11,      0.00,     70.00,    362.00,   2000.00,    525.00,    498.00,    485.00
1761122232.18,      0.00,     70.00,   1030.00,    827.00,   1668.00,    484.00,    477.00
1761122232.25,      0.00,     70.00,   1049.00,    477.00,    573.00,    463.00,    460.00
1761122232.32,   -100.00,     70.00,    361.00,   1905.00,    552.00,    435.00,    420.00
1761122232.39,      0.00,     70.00,   1049.00,    305.00,   1606.00,    415.00,    400.00
1761122232.46,      0.00,     70.00,   1118.00,    432.00,    939.00,    380.00,    388.00
1761122232.52,      0.00,     70.00,    865.00,    418.00,    591.00,    364.00,    351.00
1761122232.59,      0.00,     70.00,   1195.00,    466.00,    856.00,    341.00,    683.00
1761122232.65,      0.00,     70.00,    219.00,    365.00,    295.00,    317.00,    424.00
1761122232.74,      0.00,     70.00,   1289.00,   1597.00,   1615.00,   1108.00,   2000.00
1761122232.81,      0.00,     70.00,   1366.00,   1504.00,    227.00,   1044.00,    272.00
1761122232.89,      0.00,     70.00,    556.00,   1435.00,   1469.00,   2000.00,    322.00
1761122232.98,   -100.00,     70.00,   2000.00,   1348.00,   1890.00,    623.00,    356.00
1761122233.06,   -100.00,     70.00,   1452.00,   1266.00,   1793.00,    879.00,    409.00
1761122233.15,      0.00,     70.00,   2000.00,   1185.00,   1702.00,    872.00,    467.00
1761122233.22,      0.00,     70.00,    707.00,   1122.00,   1721.00,    763.00,    487.00
1761122233.30,      0.00,     70.00,   1138.00,   1076.00,   1664.00,    703.00,    495.00
1761122233.37,      0.00,     70.00,   1078.00,    334.00,    811.00,    651.00,    497.00
1761122233.45,      0.00,     70.00,   1028.00,   1019.00,   1890.00,    590.00,    501.00
