Tstamp,Str,Thr,RrLH,FrLH,Fr,FrRH,RrRH
1761031695.81,    -48.00,     38.00,    619.00,    651.00,    906.00,   2000.00,    565.00
1761031695.90,    -14.00,     43.00,    619.00,    650.00,   2000.00,   1665.00,    565.00
1761031695.97,    -25.00,     38.00,    602.00,    384.00,   1375.00,   1034.00,    575.00
1761031696.04,    -25.00,     42.00,    622.00,    659.00,   1030.00,   1078.00,    579.00
1761031696.12,    -28.00,     41.00,    620.00,    566.00,   1634.00,   2000.00,    569.00
1761031696.19,     -9.00,     42.00,    620.00,    663.00,   1228.00,    749.00,    573.00
1761031696.26,    -16.00,     40.00,    624.00,    618.00,    399.00,    998.00,    304.00
1761031696.33,    -47.00,     38.00,    625.00,    632.00,    967.00,   2000.00,    561.00
1761031696.41,    -48.00,     39.00,    631.00,    666.00,    908.00,   2000.00,    576.00
1761031696.48,    -16.00,     42.00,    629.00,    694.00,    848.00,    823.00,    578.00
1761031696.55,    -10.00,     42.00,    636.00,    716.00,    831.00,    632.00,    569.00
1761031696.62,      1.00,     41.00,    642.00,    859.00,   1097.00,    598.00,    560.00
1761031696.70,     22.00,     47.00,    649.00,   2000.00,    761.00,    574.00,    556.00
1761031696.77,     -4.00,     41.00,    551.00,    248.00,    653.00,    556.00,    508.00
1761031696.83,     -7.00,     41.00,    663.00,    642.00,   1130.00,    535.00,    517.00
1761031696.90,    -10.00,     40.00,    662.00,    666.00,   1150.00,    540.00,    266.00
1761031696.98,     -9.00,     41.00,    671.00,    446.00,    971.00,    494.00,    510.00
1761031697.05,     -6.00,     41.00,    686.00,    614.00,   1328.00,    520.00,    497.00
1761031697.11,      0.00,     41.00,    693.00,    326.00,   1217.00,    243.00,    485.00
1761031697.18,     -6.00,     43.00,    705.00,    441.00,    485.00,    486.00,    474.00
1761031697.25,     -6.00,     41.00,    714.00,    705.00,   1206.00,    482.00,    351.00
1761031697.32,      5.00,     42.00,    731.00,    896.00,   1375.00,    478.00,    460.00
1761031697.39,     -9.00,     42.00,    749.00,    544.00,   1022.00,    457.00,    452.00
1761031697.45,     -9.00,     41.00,    775.00,    436.00,    985.00,    492.00,    338.00
1761031697.52,     -4.00,     41.00,    783.00,    476.00,   1314.00,    441.00,     91.00
1761031697.59,     -8.00,     41.00,    793.00,    546.00,   1139.00,    407.00,    248.00
1761031697.66,     -5.00,     42.00,    803.00,    693.00,   1080.00,    410.00,    390.00
1761031697.72,    -11.00,     41.00,    817.00,    604.00,    902.00,    394.00,    210.00
1761031697.79,     -7.00,     42.00,    832.00,    582.00,   1128.00,    385.00,    358.00
1761031697.85,     -6.00,     42.00,    844.00,    516.00,   1130.00,    350.00,    234.00
1761031697.93,     13.00,     46.00,    860.00,   1871.00,   1719.00,    345.00,    277.00
1761031698.01,     10.00,     46.00,    693.00,   1834.00,   2000.00,    361.00,    312.00
1761031698.08,     -3.00,     42.00,    901.00,    430.00,   1090.00,    332.00,    296.00
1761031698.14,     -2.00,     42.00,    922.00,    774.00,    953.00,    286.00,    283.00
1761031698.21,     10.00,     44.00,    945.00,    390.00,   2000.00,    281.00,    274.00
1761031698.28,      0.00,     43.00,    966.00,    424.00,   1047.00,    264.00,    296.00
1761031698.35,      4.00,     40.00,   1013.00,    998.00,    517.00,    236.00,    228.00
1761031698.42,     13.00,     44.00,    950.00,   1737.00,   1031.00,    217.00,    224.00
1761031698.49,      6.00,     43.00,   1061.00,    349.00,   1097.00,    211.00,    210.00
1761031698.55,      5.00,     40.00,   1083.00,    779.00,    521.00,    179.00,    187.00
1761031698.62,     -2.00,     39.00,    564.00,    668.00,   1086.00,    156.00,    153.00
1761031698.68,     10.00,     44.00,   1136.00,    409.00,   1122.00,    151.00,    349.00
1761031698.76,     25.00,     45.00,   1049.00,    363.00,   1271.00,    132.00,   1077.00
1761031698.83,     34.00,     44.00,   1257.00,   2000.00,    381.00,     99.00,     91.00
1761031698.89,     10.00,     43.00,   1040.00,    331.00,    911.00,     64.00,     74.00
1761031699.07,     46.00,     38.00,   1698.00,   2000.00,    738.00,     64.00,     44.00
1761031699.24,     47.00,     39.00,   1695.00,   2000.00,    713.00,     47.00,     41.00
1761031699.42,     44.00,     38.00,   1673.00,   2000.00,    766.00,     61.00,     65.00
1761031699.60,     37.00,     39.00,   1629.00,   2000.00,    938.00,    289.00,    115.00
1761031699.66,      2.00,     46.00,   1063.00,    444.00,    224.00,    354.00,    146.00
