Tstamp,Str,Thr,RrLH,FrLH,Fr,FrRH,RrRH
1761026600.99,      0.00,      0.00,    375.00,    310.00,    443.00,   1862.00,    828.00
1761026601.07,      0.00,     60.00,    373.00,    334.00,   1781.00,   2000.00,    761.00
1761026601.13,      0.00,     60.00,    366.00,    398.00,    911.00,    371.00,    349.00
1761026601.19,      0.00,     60.00,    380.00,    287.00,    794.00,    656.00,    763.00
1761026601.27,      0.00,     60.00,    378.00,   1131.00,   1638.00,   1052.00,    820.00
1761026601.34,      0.00,     60.00,    389.00,   1825.00,    670.00,    598.00,    248.00
1761026601.43,      0.00,     60.00,    380.00,   1409.00,   1823.00,   1080.00,    811.00
1761026601.49,      9.00,     60.00,    380.00,    287.00,    351.00,   1061.00,    806.00
1761026601.57,     38.00,     60.00,    405.00,    933.00,   1132.00,    964.00,    801.00
1761026601.64,      0.00,     60.00,    389.00,   1134.00,    917.00,   1010.00,    795.00
1761026601.72,      0.00,     60.00,    394.00,   1164.00,   2000.00,    776.00,    790.00
1761026601.78,      0.00,     60.00,    406.00,    307.00,    407.00,   1029.00,    556.00
1761026601.85,      0.00,     60.00,    389.00,    287.00,    349.00,   1004.00,    424.00
1761026601.92,      0.00,     60.00,    413.00,    264.00,   1996.00,    967.00,    791.00
1761026601.99,      0.00,     60.00,    407.00,    292.00,   2000.00,    346.00,    507.00
1761026602.06,      0.00,     60.00,    389.00,    358.00,   2000.00,    770.00,    351.00
1761026602.13,      0.00,     60.00,    398.00,   1038.00,    743.00,   1028.00,    799.00
1761026602.20,      0.00,     60.00,    382.00,    303.00,    448.00,   1161.00,    812.00
1761026602.27,      0.00,     60.00,    382.00,    932.00,   1020.00,   1194.00,    817.00
1761026602.35,    -30.00,     60.00,    389.00,   1437.00,    942.00,   1816.00,    702.00
1761026602.42,      0.00,     60.00,    378.00,    382.00,   1471.00,   1451.00,    834.00
1761026602.50,      0.00,     60.00,    352.00,    450.00,   1498.00,   1019.00,    843.00
1761026602.57,      0.00,     60.00,    356.00,    516.00,    624.00,   1547.00,    858.00
1761026602.64,      0.00,     60.00,    349.00,    443.00,   1580.00,    317.00,    285.00
1761026602.70,      0.00,     60.00,    339.00,    404.00,    349.00,   1095.00,    362.00
1761026602.76,      0.00,     60.00,    337.00,    360.00,    441.00,   1008.00,    233.00
1761026602.83,    -30.00,     60.00,    326.00,    318.00,   2000.00,    426.00,    353.00
1761026602.89,    -30.00,     60.00,    323.00,    836.00,    964.00,    588.00,    296.00
1761026602.96,      0.00,     60.00,    347.00,    151.00,   1031.00,   1358.00,    239.00
1761026603.02,      0.00,     60.00,    347.00,    395.00,   1041.00,    293.00,    402.00
1761026603.10,      0.00,     60.00,    777.00,    794.00,    791.00,   1033.00,    949.00
