Tstamp,Str,Thr,RrLH,FrLH,Fr,FrRH,RrRH
1761030996.66,      0.00,      0.00,    962.00,    558.00,    991.00,    966.00,    263.00
1761030996.73,      0.00,     30.00,    869.00,    442.00,   1028.00,   1015.00,    263.00
1761030996.79,      0.00,     30.00,    460.00,    354.00,    896.00,   1275.00,    263.00
1761030996.87,      0.00,     30.00,    962.00,    369.00,   1256.00,   1091.00,    280.00
1761030996.93,      0.00,     30.00,    963.00,    424.00,    569.00,   1396.00,    271.00
1761030997.00,      0.00,     30.00,    970.00,    532.00,    564.00,   1196.00,    263.00
1761030997.08,      0.00,     30.00,    847.00,   1813.00,    180.00,   2000.00,    254.00
1761030997.16,      0.00,     30.00,    714.00,   1525.00,    302.00,   2000.00,    288.00
1761030997.23,      0.00,     30.00,    962.00,    458.00,   1400.00,    916.00,    248.00
1761030997.31,      0.00,     30.00,    962.00,    450.00,   1061.00,   1826.00,    248.00
1761030997.38,      0.00,     30.00,    962.00,    404.00,   1003.00,   1550.00,    260.00
1761030997.46,      0.00,     30.00,    894.00,   1632.00,    447.00,   2000.00,    263.00
1761030997.53,      0.00,     30.00,    963.00,    763.00,   1266.00,    551.00,    286.00
1761030997.60,      0.00,     30.00,    964.00,    418.00,   1105.00,    996.00,    240.00
1761030997.66,      0.00,     30.00,    697.00,    373.00,    861.00,    955.00,    242.00
1761030997.74,      0.00,     30.00,    927.00,   2000.00,    944.00,   1023.00,    245.00
1761030997.82,      0.00,     30.00,    962.00,    360.00,   1431.00,   1472.00,    240.00
1761030997.89,      0.00,     30.00,    962.00,    466.00,   1207.00,    981.00,    251.00
1761030997.96,      0.00,     30.00,    965.00,    743.00,    749.00,    935.00,    288.00
1761030998.03,      4.00,     30.00,    965.00,   2001.00,    531.00,    487.00,    242.00
1761030998.12,     59.00,     30.00,    967.00,   2000.00,    423.00,   2000.00,    301.00
1761030998.19,      0.00,     30.00,    891.00,    496.00,   1346.00,    994.00,    233.00
1761030998.25,      0.00,     30.00,    938.00,    386.00,    746.00,    605.00,    227.00
1761030998.33,      0.00,     30.00,    831.00,    351.00,   1098.00,   2000.00,    219.00
1761030998.40,      0.00,     30.00,    972.00,    420.00,   1144.00,    947.00,    288.00
1761030998.47,      0.00,     30.00,    972.00,    622.00,    742.00,    994.00,    230.00
1761030998.54,      0.00,     30.00,    695.00,    299.00,   2000.00,   1120.00,    222.00
1761030998.62,      0.00,     30.00,    963.00,    456.00,   1093.00,   1893.00,    224.00
1761030998.69,      0.00,     30.00,    959.00,    501.00,    996.00,   1070.00,    280.00
1761030998.76,      0.00,     30.00,    692.00,    679.00,    902.00,    950.00,    228.00
1761030998.83,      0.00,     30.00,    965.00,    452.00,   1296.00,    944.00,    268.00
1761030998.90,      0.00,     30.00,    966.00,    438.00,   1095.00,    893.00,    272.00
1761030998.98,    -30.00,     30.00,    944.00,   1440.00,    996.00,   2002.00,    221.00
1761030999.06,    -30.00,     30.00,    972.00,   1416.00,   1048.00,   2000.00,    283.00
1761030999.14,      0.00,     30.00,    968.00,   1036.00,   1605.00,    394.00,    257.00
1761030999.20,      0.00,     30.00,    575.00,    970.00,   1242.00,    397.00,    222.00
1761030999.27,      0.00,     30.00,    972.00,    318.00,    914.00,    951.00,    219.00
1761030999.34,      0.00,     30.00,    975.00,    391.00,   1004.00,    362.00,    216.00
1761030999.41,      0.00,     30.00,    982.00,    783.00,    715.00,    346.00,    231.00
1761030999.47,    -30.00,     30.00,    884.00,    666.00,   1167.00,    338.00,    227.00
1761030999.54,    -30.00,     30.00,    738.00,   1951.00,    365.00,    291.00,    225.00
1761030999.61,    -30.00,     30.00,    988.00,    847.00,    540.00,    288.00,    213.00
1761030999.67,      0.00,     30.00,    688.00,    794.00,    868.00,    288.00,    222.00
1761030999.75,      0.00,     30.00,    995.00,   1186.00,   1073.00,    291.00,    188.00
1761030999.82,      0.00,     30.00,    718.00,    347.00,    936.00,   2000.00,    263.00
1761030999.89,      0.00,     30.00,   1005.00,    844.00,   1031.00,    947.00,    216.00
1761030999.97,      0.00,     30.00,    952.00,    407.00,   1439.00,   2000.00,    230.00
1761031000.04,      0.00,     30.00,   1016.00,    460.00,    900.00,    363.00,    216.00
1761031000.11,      0.00,     30.00,   1026.00,    792.00,   1241.00,    484.00,    168.00
1761031000.18,      0.00,     30.00,   1030.00,    558.00,   1821.00,   1003.00,    165.00
1761031000.25,     30.00,     30.00,   1040.00,    411.00,   1421.00,    688.00,    152.00
1761031000.32,     30.00,     30.00,    422.00,    356.00,    964.00,    707.00,    152.00
1761031000.39,      0.00,     30.00,   1047.00,    388.00,   1478.00,   1762.00,    152.00
1761031000.47,      0.00,     30.00,   1057.00,   1351.00,    680.00,   2000.00,    149.00
1761031000.54,     30.00,     30.00,   1056.00,    442.00,   1066.00,   1094.00,    146.00
1761031000.61,     30.00,     30.00,   1071.00,   1394.00,    892.00,    364.00,    142.00
1761031000.69,      0.00,     30.00,   1064.00,    398.00,   1283.00,   1363.00,    130.00
1761031000.76,     30.00,     30.00,   1085.00,   1207.00,    215.00,   2000.00,    136.00
1761031000.83,     30.00,     30.00,   1094.00,    940.00,    148.00,    594.00,    143.00
1761031000.90,      0.00,     30.00,   1049.00,    344.00,   1321.00,    982.00,    127.00
1761031000.98,      0.00,     30.00,   1153.00,    853.00,    238.00,   2000.00,    121.00
1761031001.05,      0.00,     30.00,   1097.00,   1389.00,   1388.00,    903.00,    124.00
1761031001.13,      0.00,     30.00,   1097.00,    427.00,   1320.00,   2000.00,    139.00
1761031001.20,     30.00,     30.00,    752.00,    349.00,   1323.00,   1186.00,    124.00
1761031001.27,     30.00,     30.00,    428.00,    365.00,    997.00,    890.00,    109.00
1761031001.34,      0.00,     30.00,   1055.00,   1644.00,    680.00,   1266.00,    112.00
1761031001.41,     30.00,     30.00,    675.00,    363.00,   1250.00,   1090.00,    124.00
