Tstamp,Str,Thr,RrLH,FrLH,Fr,FrRH,RrRH
1761027564.98,      0.00,      0.00,    933.00,    529.00,     55.00,    252.00,    277.00
1761027565.05,      0.00,     60.00,    932.00,    635.00,     34.00,    792.00,    277.00
1761027565.11,      0.00,     60.00,    391.00,    339.00,   1009.00,    461.00,    291.00
1761027565.18,      0.00,     60.00,    716.00,     92.00,    926.00,    343.00,    291.00
1761027565.27,      0.00,     60.00,    631.00,    545.00,   1318.00,    989.00,    283.00
1761027565.36,      0.00,     60.00,    930.00,   1207.00,   1872.00,   1393.00,    283.00
1761027565.45,      0.00,     60.00,    929.00,    695.00,    691.00,    924.00,    280.00
1761027565.52,      0.00,     60.00,    727.00,    225.00,    963.00,   2000.00,    286.00
1761027565.59,      0.00,     60.00,    914.00,    785.00,    429.00,    359.00,    283.00
1761027565.65,      0.00,     60.00,    914.00,    772.00,    892.00,    541.00,    280.00
1761027565.72,      0.00,     60.00,    916.00,    655.00,   1345.00,    335.00,    291.00
1761027565.80,      0.00,     60.00,    870.00,    957.00,    681.00,    355.00,    298.00
1761027565.88,      0.00,     60.00,    906.00,    784.00,   1381.00,    387.00,    306.00
1761027565.95,      0.00,     60.00,    904.00,    470.00,   1062.00,    378.00,    324.00
1761027566.02,      0.00,     60.00,   1051.00,    353.00,   1212.00,    420.00,    309.00
1761027566.12,    -51.00,     60.00,    897.00,    722.00,   2000.00,   1115.00,    309.00
1761027566.19,      0.00,     60.00,    788.00,    607.00,    814.00,    325.00,    298.00
1761027566.26,      0.00,     60.00,    888.00,    624.00,    920.00,    601.00,    306.00

1761027566.33,    -30.00,     60.00,    881.00,    466.00,    695.00,   1021.00,    317.00
1761027566.42,      0.00,     60.00,    879.00,    937.00,   1430.00,   2000.00,    325.00
1761027566.49,      0.00,     60.00,    566.00,    375.00,    998.00,   1085.00,    333.00
1761027566.58,      0.00,     60.00,   1084.00,   1000.00,    984.00,   2000.00,    340.00
1761027566.65,      0.00,     60.00,    883.00,    370.00,   1198.00,    458.00,    343.00
1761027566.74,      0.00,     60.00,    994.00,    614.00,   1079.00,   2000.00,    345.00
1761027566.81,      0.00,     60.00,    905.00,   1405.00,     79.00,    371.00,    360.00
1761027566.89,      0.00,     60.00,    933.00,    491.00,   1356.00,   1023.00,    351.00
1761027566.95,      0.00,     60.00,    972.00,    423.00,   1013.00,    311.00,    358.00
1761027567.05,      0.00,     60.00,   1034.00,    365.00,   1726.00,   2000.00,    353.00
1761027567.14,    -30.00,     60.00,   1425.00,   1743.00,    774.00,    826.00,    357.00
1761027567.21,    -30.00,     60.00,   1126.00,    526.00,    390.00,    496.00,    319.00
1761027567.29,      0.00,     60.00,    825.00,    351.00,   1482.00,    343.00,    362.00
1761027567.36,      0.00,     60.00,   1372.00,    218.00,    790.00,    427.00,    374.00
1761027567.44,      0.00,     60.00,   1228.00,    346.00,   1466.00,    489.00,    369.00
1761027567.52,      0.00,     60.00,   1153.00,   1855.00,   1082.00,    460.00,    376.00
1761027567.59,    -30.00,     60.00,    885.00,    499.00,    802.00,    415.00,    362.00
1761027567.66,      0.00,     60.00,    412.00,    889.00,   1183.00,    990.00,    356.00
1761027567.74,      0.00,     60.00,    859.00,    702.00,   1181.00,    338.00,    350.00
1761027567.82,      0.00,     60.00,    703.00,    346.00,   1244.00,    385.00,    351.00
1761027567.88,      0.00,     60.00,    889.00,    186.00,   1237.00,    393.00,    335.00
1761027567.96,      0.00,     60.00,    771.00,   1618.00,    906.00,   1056.00,    343.00
1761027568.04,      0.00,     60.00,   1269.00,    309.00,    890.00,   1159.00,    343.00
1761027568.12,      0.00,     60.00,   1405.00,    368.00,   1580.00,    468.00,    335.00
1761027568.19,      0.00,     60.00,   1202.00,   1045.00,    552.00,    907.00,    328.00
1761027568.27,      0.00,     60.00,   1224.00,    767.00,    468.00,    955.00,    329.00
1761027568.35,      0.00,     60.00,    982.00,    422.00,   1246.00,    430.00,    312.00
1761027568.42,      0.00,     60.00,   1044.00,    202.00,    895.00,   1027.00,    338.00
1761027568.49,      0.00,     60.00,    911.00,    632.00,    837.00,    686.00,    332.00
1761027568.56,      0.00,     60.00,    899.00,   1566.00,    698.00,    825.00,    333.00
1761027568.64,      0.00,     60.00,    888.00,    677.00,    685.00,    686.00,    346.00
1761027568.71,      0.00,     60.00,    907.00,    566.00,   1462.00,    602.00,    338.00
1761027568.78,      0.00,     60.00,    889.00,    269.00,    710.00,    553.00,    355.00
1761027568.86,      0.00,     60.00,    949.00,   1260.00,   1627.00,    518.00,    353.00
1761027568.93,      0.00,     60.00,   1235.00,    473.00,   1053.00,    434.00,    351.00
1761027569.01,      0.00,     60.00,   1121.00,    328.00,   1356.00,    427.00,    348.00
1761027569.08,      0.00,     60.00,   1387.00,    645.00,    953.00,    595.00,    329.00
1761027569.16,      0.00,     60.00,   1115.00,   1153.00,   1172.00,    869.00,    432.00
1761027569.25,   -100.00,     60.00,    594.00,    326.00,   1001.00,    977.00,   2000.00
1761027569.32,   -100.00,     60.00,    943.00,    351.00,   1517.00,    249.00,    346.00
1761027569.39,    -63.00,     60.00,    962.00,    420.00,    881.00,    448.00,    317.00
1761027569.47,      0.00,     60.00,   1169.00,   1566.00,    882.00,    907.00,    512.00
1761027569.55,   -100.00,     60.00,    909.00,    655.00,    641.00,    398.00,    825.00
1761027569.62,   -100.00,     60.00,    942.00,    302.00,    683.00,    435.00,    553.00
1761027569.69,   -100.00,     60.00,    975.00,   1005.00,   1057.00,    260.00,    588.00
1761027569.77,      0.00,     60.00,   1016.00,   1320.00,    624.00,    705.00,    585.00
