Tstamp,Str,Thr,RrLH,FrLH,Fr,FrRH,RrRH
1759999906.61,      0.00,      0.00,    661.00,   1571.00,    916.00,    555.00,    523.00
1759999906.66,      0.00,     80.00,    657.00,   1766.00,   1855.00,    550.00,    523.00
1759999906.71,      0.00,     80.00,    632.00,    915.00,   1157.00,    550.00,    523.00
1759999906.76,      0.00,     80.00,    667.00,    737.00,   1441.00,    927.00,    529.00
1759999906.81,      0.00,     80.00,    657.00,    537.00,   1483.00,    559.00,    524.00
1759999906.86,      0.00,     80.00,    661.00,    929.00,   1297.00,    553.00,    523.00
1759999906.90,      0.00,     80.00,    676.00,    723.00,    551.00,    553.00,    507.00
1759999906.96,      0.00,     80.00,    667.00,   2000.00,   2000.00,    550.00,    515.00
1759999907.00,      0.00,     80.00,    658.00,    620.00,   1190.00,    416.00,    518.00
1759999907.05,      0.00,     80.00,    660.00,   2000.00,    962.00,    553.00,    502.00
1759999907.10,      0.00,     80.00,    664.00,    666.00,   1155.00,    564.00,    515.00
1759999907.15,      0.00,     80.00,    678.00,    656.00,   1213.00,    553.00,    518.00
1759999907.20,      0.00,     80.00,    660.00,   2000.00,   1201.00,    550.00,    514.00
1759999907.24,      0.00,     80.00,    667.00,   2000.00,   1058.00,    551.00,    513.00
1759999907.29,      0.00,     80.00,    668.00,    645.00,   1157.00,    557.00,    506.00
1759999907.34,      0.00,     80.00,    671.00,   1129.00,   2000.00,    540.00,    506.00
1759999907.39,      0.00,     80.00,    671.00,   1073.00,   1743.00,    543.00,    503.00
1759999907.43,      0.00,     80.00,    675.00,    541.00,    615.00,    550.00,    498.00
1759999907.49,      0.00,     80.00,    683.00,   1001.00,   2000.00,   1781.00,    486.00
1759999907.54,      0.00,     80.00,    680.00,    972.00,    886.00,   1995.00,    501.00
1759999907.59,      0.00,     80.00,    689.00,    919.00,   1039.00,    553.00,    507.00
1759999907.64,      0.00,     80.00,    693.00,    898.00,   1256.00,    556.00,    489.00
1759999907.68,      0.00,     80.00,    696.00,    904.00,    804.00,    550.00,    484.00
1759999907.73,      0.00,     80.00,    700.00,    686.00,   1245.00,    852.00,    486.00
1759999907.77,      0.00,     80.00,    704.00,    853.00,   1487.00,    382.00,    489.00
1759999907.82,      0.00,     80.00,    709.00,    864.00,    972.00,   1655.00,    484.00
1759999907.86,      0.00,     80.00,    710.00,    767.00,    545.00,    424.00,    478.00
1759999907.90,      0.00,     80.00,    713.00,    735.00,   1014.00,    647.00,    478.00
1759999907.95,      0.00,     80.00,    717.00,   1282.00,   1635.00,    819.00,    480.00
1759999907.99,      0.00,     80.00,    723.00,    908.00,    968.00,    553.00,    474.00
1759999908.04,      0.00,     80.00,    735.00,   1168.00,    611.00,    553.00,    479.00
1759999908.09,      0.00,     80.00,    756.00,   1632.00,   1499.00,    591.00,    486.00
1759999908.13,      0.00,     80.00,    783.00,    796.00,   1364.00,    625.00,    486.00
1759999908.18,      0.00,     80.00,    811.00,    706.00,   1098.00,   2000.00,    489.00
1759999908.24,      0.00,     80.00,    856.00,   1162.00,   2000.00,    817.00,    489.00
1759999908.28,      0.00,     80.00,   1009.00,   1078.00,    584.00,    552.00,    503.00
1759999908.33,      0.00,     80.00,   1092.00,   1024.00,    888.00,    890.00,    498.00
1759999908.38,      0.00,     80.00,   1123.00,    972.00,   2000.00,    578.00,    480.00
1759999908.42,      0.00,     80.00,   1206.00,    927.00,    856.00,   1146.00,    495.00
1759999908.47,      0.00,     80.00,   1237.00,    891.00,    834.00,    728.00,    486.00
1759999908.52,      0.00,     80.00,   1241.00,    695.00,   1101.00,    567.00,    491.00
1759999908.57,      0.00,     80.00,   1110.00,   1916.00,    956.00,    560.00,    485.00
1759999908.62,      0.00,     80.00,   1234.00,    793.00,   2000.00,    570.00,    486.00
1759999908.66,      0.00,     80.00,    791.00,    777.00,   1231.00,    549.00,    487.00
1759999908.71,      0.00,     80.00,    776.00,    948.00,   1322.00,    553.00,    505.00
1759999908.76,      0.00,     80.00,    760.00,   1144.00,    764.00,    937.00,    488.00
1759999908.80,      0.00,     80.00,    732.00,    798.00,   1334.00,    424.00,    478.00
1759999908.84,      0.00,     80.00,   1108.00,   1341.00,    750.00,    546.00,    486.00
1759999908.89,      0.00,     80.00,    746.00,    694.00,   1256.00,    904.00,    487.00
1759999908.93,      0.00,     80.00,    766.00,    580.00,   1001.00,   1024.00,    486.00
1759999908.99,      0.00,     80.00,   1086.00,   1197.00,    680.00,   2000.00,    495.00
1759999909.04,      0.00,     80.00,   1124.00,   1115.00,    745.00,   2000.00,    500.00
1759999909.10,      0.00,     80.00,   1210.00,   1369.00,    907.00,   2000.00,    508.00
1759999909.15,      0.00,     80.00,   1124.00,   1334.00,    939.00,   1093.00,    513.00
1759999909.20,      0.00,     80.00,   1043.00,    871.00,    715.00,   2000.00,    520.00
1759999909.25,      0.00,     80.00,   1119.00,    851.00,    673.00,   1216.00,    531.00
1759999909.30,      0.00,     80.00,   1113.00,    819.00,    652.00,    748.00,    532.00
1759999909.34,      0.00,     80.00,   1168.00,    649.00,    671.00,   1025.00,    542.00
1759999909.39,      0.00,     80.00,   1176.00,    742.00,    574.00,    487.00,    546.00
1759999909.43,      0.00,     80.00,    962.00,    654.00,    553.00,    519.00,    553.00
1759999909.48,      0.00,     80.00,   1133.00,   1192.00,   1101.00,    934.00,    563.00
1759999909.52,      0.00,     80.00,    686.00,    645.00,   1108.00,    842.00,    570.00
1759999909.57,      0.00,     80.00,    646.00,   1001.00,   1776.00,    792.00,    607.00
1759999909.62,      0.00,     80.00,    638.00,    862.00,    960.00,    773.00,    596.00
1759999909.67,      0.00,     80.00,    654.00,   1066.00,   2000.00,    720.00,    605.00
1759999909.72,      0.00,     80.00,    689.00,    805.00,   1040.00,   1266.00,    613.00
1759999909.77,      0.00,     80.00,    709.00,    808.00,   1532.00,    577.00,    623.00
1759999909.82,    -21.00,     80.00,    750.00,    757.00,   1344.00,   1363.00,    639.00
1759999909.89,    -39.00,     80.00,   1090.00,    799.00,   1839.00,   2000.00,    669.00
1759999909.93,    -18.00,     80.00,   1070.00,    737.00,    817.00,    644.00,    688.00
1759999909.98,    -15.00,     80.00,   1062.00,    677.00,   1193.00,    585.00,   1498.00
1759999910.03,    -90.00,     80.00,   1039.00,    669.00,    909.00,    619.00,    762.00
1759999910.08,    -90.00,     50.00,   1033.00,    556.00,   1507.00,    794.00,    796.00
1759999910.13,    -90.00,     50.00,    581.00,   1052.00,    886.00,   2000.00,    833.00
1759999910.19,    -90.00,     50.00,    575.00,   2000.00,   1587.00,    976.00,    861.00
1759999910.26,    -90.00,     50.00,    545.00,   1305.00,   1761.00,   2001.00,    890.00
1759999910.31,    -90.00,     50.00,    553.00,   1186.00,   1653.00,   1174.00,    900.00
1759999910.36,    -90.00,     50.00,    596.00,    715.00,   1593.00,   1000.00,    901.00
1759999910.41,    -90.00,     50.00,    650.00,    889.00,   1522.00,    711.00,    898.00
1759999910.46,    -90.00,     50.00,    696.00,   1302.00,   1142.00,    614.00,    883.00
1759999910.51,    -90.00,     50.00,   1074.00,   1398.00,    703.00,    863.00,    867.00
1759999910.55,    -90.00,     50.00,    940.00,    738.00,    612.00,    639.00,    849.00
1759999910.60,    -14.00,     50.00,   1080.00,   1353.00,    551.00,    743.00,   2000.00
1759999910.66,      0.00,     50.00,   1105.00,   1339.00,    533.00,    481.00,   2000.00
1759999910.71,     23.00,     50.00,   1150.00,    818.00,   1131.00,    676.00,   1516.00
1759999910.76,      0.00,     50.00,   1201.00,    555.00,    660.00,    628.00,   2000.00
1759999910.81,      0.00,     50.00,   1318.00,    481.00,    628.00,    594.00,   2000.00
1759999910.86,      0.00,     50.00,   1317.00,    863.00,    552.00,    520.00,   1268.00
1759999910.91,      0.00,     50.00,   1315.00,    554.00,    506.00,    482.00,    686.00
1759999910.96,     46.00,     50.00,    940.00,   1876.00,    488.00,    432.00,   2000.00
1759999911.02,     88.00,     50.00,   1314.00,    560.00,   1250.00,    434.00,   2000.00
1759999911.07,      0.00,     50.00,   1057.00,    614.00,    650.00,    346.00,   2000.00
1759999911.11,      0.00,     50.00,    601.00,    557.00,    388.00,    310.00,    563.00
1759999911.17,      0.00,     50.00,   1040.00,    482.00,   2000.00,    263.00,   2000.00
1759999911.22,      0.00,     50.00,    556.00,    521.00,   1948.00,    252.00,   2000.00
1759999911.27,      0.00,     50.00,   1156.00,    383.00,   1101.00,   2000.00,    231.00
1759999911.32,      0.00,     50.00,   1168.00,    911.00,   1256.00,    712.00,    231.00
1759999911.37,      0.00,     50.00,    464.00,   1017.00,   1670.00,   1281.00,    228.00
1759999911.41,    -32.00,     50.00,   1250.00,    735.00,    937.00,   1015.00,    251.00
