Tstamp,Str,Thr,RrLH,FrLH,Fr,FrRH,RrRH
1760003818.69,      0.00,      0.00,    519.00,   2000.00,   2000.00,    689.00,    606.00
1760003818.73,      0.00,     60.00,    519.00,    497.00,   1005.00,    476.00,    647.00
1760003818.78,      0.00,     60.00,    519.00,   2000.00,   2000.00,    689.00,    647.00
1760003818.83,      0.00,     60.00,    519.00,   2000.00,   2000.00,    693.00,    647.00
1760003818.87,      0.00,     60.00,    522.00,    570.00,   1094.00,    713.00,    651.00
1760003818.92,      0.00,     60.00,    522.00,   1344.00,   2000.00,    698.00,    654.00
1760003818.98,      0.00,     60.00,    522.00,   2000.00,   2000.00,    963.00,    658.00
1760003819.03,      0.00,     60.00,    522.00,   2000.00,   2000.00,    684.00,    589.00
1760003819.08,      0.00,     60.00,    519.00,    484.00,   1492.00,    686.00,    657.00
1760003819.12,      0.00,     60.00,    519.00,    567.00,   1513.00,    925.00,    651.00
1760003819.17,      0.00,     60.00,    519.00,   1460.00,   1102.00,    782.00,    641.00
1760003819.22,      0.00,     60.00,    522.00,   1945.00,   1255.00,    903.00,    651.00
1760003819.26,      0.00,     60.00,    519.00,    735.00,   1039.00,    872.00,    652.00
1760003819.31,      0.00,     60.00,    522.00,    746.00,   1254.00,    834.00,    661.00
1760003819.36,      0.00,     60.00,    517.00,   1143.00,    788.00,   1821.00,    663.00
1760003819.40,      0.00,     60.00,    520.00,   1096.00,    921.00,    829.00,    663.00
1760003819.45,      0.00,     60.00,    521.00,   1582.00,    789.00,    941.00,    671.00
1760003819.50,      0.00,     60.00,    515.00,    725.00,    856.00,   2000.00,    664.00
1760003819.54,      0.00,     60.00,    519.00,    793.00,    976.00,    789.00,    664.00
1760003819.58,      0.00,     60.00,    519.00,    889.00,   1001.00,    735.00,    674.00
1760003819.63,      0.00,     60.00,    514.00,    874.00,   1162.00,    744.00,    664.00
1760003819.67,    -61.00,     60.00,    508.00,    765.00,   1218.00,    755.00,    652.00
1760003819.72,    -79.00,     60.00,    516.00,   1359.00,    996.00,   1043.00,    654.00
1760003819.76,      0.00,     60.00,    505.00,    900.00,   1845.00,    664.00,    666.00
1760003819.81,      0.00,     60.00,    503.00,    854.00,   2000.00,   1324.00,    664.00
1760003819.86,      0.00,     60.00,    504.00,    987.00,   1030.00,   1173.00,    694.00
1760003819.90,      0.00,     60.00,    505.00,    810.00,   1107.00,   1052.00,    677.00
1760003819.95,      0.00,     60.00,    508.00,    746.00,   1485.00,    690.00,    671.00
1760003819.99,      0.00,     60.00,    512.00,    709.00,   1135.00,    728.00,    665.00
1760003820.04,      0.00,     60.00,    515.00,    692.00,   2000.00,   1013.00,    655.00
1760003820.09,      0.00,     60.00,    519.00,    685.00,   1417.00,   2000.00,    662.00
1760003820.13,      0.00,     60.00,    523.00,    580.00,   1657.00,    950.00,    663.00
1760003820.18,      0.00,     60.00,    522.00,    660.00,   2000.00,    576.00,    666.00
1760003820.23,      0.00,     60.00,    531.00,   1094.00,   1631.00,    992.00,    658.00
1760003820.27,      0.00,     60.00,    536.00,    984.00,   2000.00,    849.00,    679.00
1760003820.31,      0.00,     60.00,    536.00,    607.00,    566.00,    799.00,    658.00
1760003820.35,      0.00,     60.00,    539.00,    767.00,    798.00,    861.00,    660.00
1760003820.41,      0.00,     60.00,    548.00,   1148.00,   2000.00,   1888.00,    648.00
1760003820.46,      0.00,     60.00,    550.00,    850.00,   1180.00,   1594.00,    646.00
1760003820.52,      0.00,     60.00,    554.00,   2000.00,   2000.00,   1433.00,    641.00
1760003820.57,      0.00,     60.00,    583.00,   1503.00,   1437.00,    835.00,    647.00
1760003820.61,      0.00,     60.00,    592.00,    632.00,    951.00,    821.00,    643.00
1760003820.65,      0.00,     60.00,    615.00,    816.00,   1209.00,    916.00,    640.00
1760003820.70,      0.00,     60.00,    626.00,   2000.00,    986.00,   1225.00,    640.00
1760003820.75,      0.00,     60.00,    650.00,    808.00,   1049.00,   1045.00,    640.00
1760003820.79,      0.00,     60.00,    673.00,    639.00,   1386.00,   1147.00,    642.00
1760003820.84,      0.00,     60.00,    702.00,    760.00,   1830.00,    414.00,    640.00
1760003820.88,      0.00,     60.00,   1076.00,    886.00,   1135.00,    973.00,    640.00
1760003820.93,      0.00,     60.00,   1072.00,   1295.00,   1070.00,   1007.00,    641.00
1760003820.98,      0.00,     60.00,   1028.00,    888.00,    583.00,    922.00,    650.00
1760003821.02,      0.00,     60.00,   1066.00,    840.00,    872.00,    637.00,    651.00
1760003821.07,      0.00,     60.00,   1035.00,    809.00,   1717.00,    907.00,    650.00
1760003821.11,      0.00,     60.00,   1063.00,    883.00,    562.00,    736.00,    651.00
1760003821.16,      0.00,     60.00,   1063.00,    736.00,   1340.00,    624.00,    653.00
1760003821.20,      0.00,     60.00,    941.00,    700.00,   1256.00,    432.00,    654.00
1760003821.25,      0.00,     60.00,   1060.00,    673.00,   1506.00,    762.00,    660.00
1760003821.30,      0.00,     60.00,   1059.00,    665.00,   2000.00,    774.00,    653.00
1760003821.34,      0.00,     60.00,    894.00,    642.00,   1808.00,    566.00,    665.00
1760003821.39,      0.00,     60.00,    867.00,   2000.00,    662.00,    727.00,    660.00
1760003821.44,    -30.00,     60.00,   1053.00,   1061.00,   1186.00,   1083.00,    659.00
1760003821.49,    -30.00,     60.00,    382.00,    624.00,   1380.00,   1904.00,    654.00
1760003821.55,    -30.00,     60.00,   1015.00,   2000.00,    552.00,   2000.00,    660.00
1760003821.59,      0.00,     60.00,    562.00,   1124.00,   1019.00,    553.00,    655.00
