Tstamp,Str,Thr,RrLH,FrLH,Fr,FrRH,RrRH
1760003493.61,      0.00,     60.00,    527.00,    886.00,   1141.00,    471.00,    641.00
1760003493.65,      0.00,     60.00,    527.00,   1044.00,    608.00,    545.00,    645.00
1760003493.70,      0.00,     60.00,    527.00,    979.00,   1378.00,    684.00,    639.00
1760003493.74,      0.00,     60.00,    531.00,    587.00,   2000.00,    684.00,    639.00
1760003493.79,      0.00,     60.00,    530.00,    967.00,   1813.00,    707.00,    641.00
1760003493.83,      0.00,     60.00,    530.00,    864.00,   1038.00,    677.00,    641.00
1760003493.88,      0.00,     60.00,    536.00,    572.00,   1825.00,    695.00,    648.00
1760003493.92,      0.00,     60.00,    536.00,   1048.00,   1070.00,    669.00,    660.00
1760003493.96,      0.00,     60.00,    532.00,    967.00,    750.00,    672.00,    642.00
1760003494.01,      0.00,     60.00,    532.00,    569.00,   1880.00,    904.00,    641.00
1760003494.05,      0.00,     60.00,    529.00,    952.00,   2000.00,    643.00,    631.00
1760003494.10,      0.00,     60.00,    538.00,    873.00,   2000.00,    891.00,    644.00
1760003494.14,      0.00,     60.00,    529.00,   1202.00,    553.00,    758.00,    641.00
1760003494.19,      0.00,     60.00,    538.00,    932.00,    832.00,    845.00,    643.00
1760003494.23,      0.00,     60.00,    538.00,    844.00,    850.00,    820.00,    646.00
1760003494.27,      0.00,     60.00,    529.00,    900.00,    874.00,    790.00,    645.00
1760003494.31,      0.00,     60.00,    535.00,    763.00,   1375.00,    788.00,    637.00
1760003494.36,      0.00,     60.00,    534.00,    918.00,   1335.00,    793.00,    644.00
1760003494.40,      0.00,     60.00,    531.00,    958.00,   1008.00,    687.00,    644.00
1760003494.44,      0.00,     60.00,    531.00,    795.00,   1454.00,    744.00,    644.00
1760003494.49,      0.00,     60.00,    531.00,   1059.00,    840.00,    725.00,    648.00
1760003494.53,      0.00,     60.00,    531.00,   1135.00,   1041.00,    734.00,    651.00
1760003494.57,      0.00,     60.00,    530.00,    975.00,   1214.00,    889.00,    629.00
1760003494.62,      0.00,     60.00,    526.00,    584.00,   1795.00,    959.00,    638.00
1760003494.67,      0.00,     60.00,    526.00,    894.00,   2000.00,    675.00,    664.00
