Tstamp,Str,Thr,RrLH,FrLH,Fr,FrRH,RrRH
1760003602.39,      0.00,      0.00,    526.00,    597.00,    637.00,   1025.00,    648.00
1760003602.43,      0.00,     60.00,    526.00,   1233.00,    600.00,   1029.00,    648.00
1760003602.47,      0.00,     60.00,    506.00,    593.00,   1083.00,    843.00,    648.00
1760003602.51,      0.00,     60.00,    526.00,    984.00,    790.00,    705.00,    644.00
1760003602.56,      0.00,     60.00,    526.00,   1238.00,   1082.00,    700.00,    639.00
1760003602.60,      0.00,     60.00,    526.00,    577.00,   1673.00,    701.00,    640.00
1760003602.65,      0.00,     60.00,    526.00,    581.00,   1557.00,    690.00,    640.00
1760003602.69,      0.00,     60.00,    534.00,    569.00,   2000.00,    691.00,    647.00
1760003602.73,      0.00,     60.00,    534.00,    569.00,   1087.00,    958.00,    651.00
1760003602.78,      0.00,     60.00,    534.00,    962.00,   1471.00,    680.00,    667.00
1760003602.82,      0.00,     60.00,    531.00,    851.00,    876.00,    683.00,    646.00
1760003602.86,      0.00,     60.00,    531.00,    570.00,   1419.00,    912.00,    644.00
1760003602.91,      0.00,     60.00,    530.00,    663.00,   1571.00,    898.00,    634.00
1760003602.96,      0.00,     60.00,    530.00,   1928.00,    960.00,   2000.00,    649.00
1760003603.02,    -15.00,     60.00,    531.00,   2000.00,   2000.00,    865.00,    641.00
1760003603.07,    -64.00,     60.00,    534.00,   2000.00,   2000.00,    814.00,    636.00
1760003603.12,    -75.00,     60.00,    526.00,    809.00,   1246.00,    814.00,    648.00
1760003603.16,    -71.00,     60.00,    531.00,    768.00,    947.00,    508.00,    640.00
1760003603.20,     -1.00,     60.00,    531.00,    710.00,   1150.00,    798.00,    643.00
1760003603.25,      0.00,     60.00,    533.00,   1891.00,   1095.00,    752.00,    638.00
1760003603.29,      0.00,     60.00,    532.00,    860.00,   1150.00,    693.00,    631.00
1760003603.33,      0.00,     60.00,    539.00,    826.00,   1014.00,    684.00,    617.00
1760003603.37,      0.00,     60.00,    543.00,    610.00,   1030.00,    689.00,    617.00
1760003603.41,    -48.00,     60.00,    553.00,    864.00,   1034.00,    547.00,    648.00
1760003603.46,    -28.00,     60.00,    555.00,    869.00,   1081.00,    632.00,    602.00
1760003603.50,      0.00,     60.00,    562.00,    841.00,   1622.00,    625.00,    589.00
1760003603.55,      0.00,     60.00,    565.00,    900.00,   1560.00,    627.00,    583.00
1760003603.59,    -79.00,     60.00,    574.00,    889.00,    843.00,   1158.00,    576.00
1760003603.63,   -100.00,     60.00,    578.00,    865.00,    754.00,    646.00,    577.00
1760003603.67,   -100.00,     60.00,    591.00,    865.00,    902.00,    626.00,    581.00
1760003603.71,      0.00,     60.00,    595.00,    820.00,    839.00,    605.00,    591.00
1760003603.75,      0.00,     60.00,    602.00,    771.00,    764.00,    618.00,    562.00
1760003603.79,      0.00,     60.00,    612.00,    770.00,   1112.00,    580.00,    550.00
1760003603.84,      0.00,     60.00,    629.00,   1973.00,    681.00,    552.00,    547.00
1760003603.87,      0.00,     60.00,    642.00,    638.00,    716.00,    544.00,    534.00
1760003603.92,      0.00,     60.00,    655.00,   1041.00,   2000.00,    533.00,    526.00
1760003603.97,      0.00,     60.00,    674.00,    870.00,   2000.00,    517.00,    514.00
1760003604.01,      0.00,     60.00,    686.00,    695.00,   1530.00,    523.00,    502.00
1760003604.06,      0.00,     60.00,    699.00,   1593.00,    759.00,    537.00,    493.00
