Tstamp,Str,Thr,RrLH,FrLH,Fr,FrRH,RrRH
1761027204.65,      0.00,      0.00,    624.00,     14.00,   2000.00,    618.00,    379.00
1761027204.72,      0.00,     60.00,    629.00,    609.00,   1926.00,    739.00,    583.00
1761027204.79,      0.00,     60.00,    366.00,    627.00,   2000.00,    612.00,    335.00
1761027204.87,      0.00,     60.00,    635.00,   2000.00,    908.00,   1111.00,    559.00
1761027204.95,      0.00,     60.00,    637.00,    787.00,   1937.00,    627.00,    573.00
1761027205.01,      0.00,     60.00,    642.00,    559.00,    662.00,    595.00,    362.00
1761027205.08,      0.00,     60.00,    646.00,    154.00,   2000.00,    581.00,    155.00
1761027205.15,      0.00,     60.00,    648.00,    385.00,   2000.00,    595.00,    364.00
1761027205.24,      0.00,     60.00,    655.00,   2000.00,   1777.00,    880.00,    539.00
1761027205.31,      0.00,     60.00,    663.00,    868.00,   2000.00,    544.00,    383.00
1761027205.38,      0.00,     60.00,    661.00,    672.00,   1900.00,    548.00,    515.00
1761027205.46,      0.00,     60.00,    682.00,   2000.00,   1317.00,    549.00,    509.00
1761027205.53,    100.00,     60.00,    680.00,    881.00,   1723.00,    549.00,    227.00
1761027205.61,      0.00,     60.00,    688.00,   1160.00,   1534.00,    527.00,    486.00
1761027205.68,      0.00,     60.00,    698.00,    588.00,   1969.00,    520.00,    478.00
1761027205.76,      0.00,     60.00,    707.00,    931.00,   1720.00,    544.00,    484.00
1761027205.83,      0.00,     60.00,    714.00,    167.00,   2000.00,    520.00,    486.00
1761027205.90,      0.00,     60.00,    731.00,    694.00,   1694.00,    824.00,    474.00
1761027205.98,      0.00,     60.00,    732.00,    949.00,   1713.00,   1029.00,    490.00
1761027206.05,      0.00,     60.00,    708.00,    898.00,   2000.00,    350.00,    320.00
1761027206.12,      0.00,     60.00,    357.00,    367.00,    347.00,   1607.00,    254.00
1761027206.19,      0.00,     60.00,    706.00,    798.00,   1687.00,   1022.00,    484.00
1761027206.27,      0.00,     60.00,    700.00,    760.00,   2000.00,   1003.00,    497.00
1761027206.35,      0.00,     60.00,    697.00,    740.00,   2000.00,   2000.00,    507.00
1761027206.43,      0.00,     60.00,    691.00,    734.00,   1760.00,   1005.00,    515.00
1761027206.51,      0.00,     60.00,    686.00,    792.00,   1446.00,   2000.00,    525.00
1761027206.58,    -56.00,     60.00,    693.00,    823.00,   1741.00,    843.00,    546.00
1761027206.65,      0.00,     60.00,    711.00,   1546.00,    460.00,    884.00,    245.00
1761027206.73,      0.00,     60.00,    703.00,    808.00,   1775.00,   1014.00,    557.00
1761027206.81,      0.00,     60.00,    729.00,    806.00,   2000.00,   1076.00,    385.00
1761027206.88,      0.00,     60.00,    777.00,    610.00,   2000.00,    754.00,    588.00
1761027206.96,      0.00,     60.00,   1069.00,    946.00,   1097.00,    949.00,    498.00
1761027207.03,      0.00,     60.00,   1112.00,    342.00,   1772.00,    898.00,    594.00
1761027207.11,      0.00,     60.00,    902.00,    379.00,   1987.00,    792.00,    609.00
1761027207.18,    -30.00,     60.00,    941.00,    354.00,   2000.00,    512.00,    385.00
1761027207.26,      0.00,     60.00,    627.00,   1149.00,   1803.00,    717.00,    617.00
1761027207.33,      0.00,     60.00,   1098.00,    660.00,    911.00,    708.00,    626.00
1761027207.41,      0.00,     60.00,   1074.00,    354.00,   1690.00,   1162.00,    657.00
1761027207.48,      0.00,     60.00,    607.00,    629.00,   2000.00,    625.00,    349.00
1761027207.55,      0.00,     60.00,    582.00,   1597.00,   1834.00,    573.00,    330.00
1761027207.63,    -30.00,     60.00,    566.00,    872.00,   2000.00,    455.00,    338.00
1761027207.69,    -30.00,     60.00,    391.00,    347.00,    671.00,   1683.00,    239.00
1761027207.77,      0.00,     60.00,    863.00,    321.00,   1604.00,   2000.00,    654.00
1761027207.86,      0.00,     60.00,    455.00,    792.00,   2000.00,   1854.00,    411.00
