Tstamp,Str,Thr,RrLH,FrLH,Fr,FrRH,RrRH
1761030158.21,      0.00,      0.00,   1004.00,    580.00,    624.00,   2000.00,    184.00
1761030158.31,      0.00,     60.00,   1006.00,    560.00,    827.00,   1014.00,    191.00
1761030158.41,      0.00,     60.00,   1003.00,   1068.00,     57.00,    566.00,    228.00
1761030158.50,      0.00,     60.00,   1004.00,    416.00,    626.00,   1081.00,    184.00
1761030158.61,      0.00,     60.00,   1008.00,   2000.00,    579.00,   1231.00,    181.00
1761030158.71,     30.00,     60.00,   1012.00,    729.00,    905.00,   1169.00,    181.00
1761030158.81,      0.00,     60.00,    489.00,    347.00,   1201.00,    625.00,    359.00
1761030158.90,      0.00,     60.00,   1020.00,    511.00,    232.00,    593.00,    215.00
1761030158.99,      0.00,     60.00,    951.00,    349.00,    836.00,    654.00,    165.00
1761030159.10,    100.00,     60.00,   1030.00,   2000.00,   1127.00,    422.00,    415.00
1761030159.19,      0.00,     60.00,   1041.00,   2000.00,    436.00,    286.00,    291.00
1761030159.29,      0.00,     60.00,    563.00,    838.00,   1180.00,    220.00,    155.00
1761030159.38,     30.00,     60.00,   1052.00,    416.00,    866.00,   1041.00,    146.00
1761030159.48,     30.00,     60.00,   1052.00,    750.00,    792.00,   1040.00,    155.00
1761030159.58,      0.00,     60.00,   1054.00,    702.00,    712.00,   1118.00,    140.00
1761030159.68,      0.00,     60.00,   1053.00,    584.00,   1155.00,    963.00,    152.00
1761030159.78,      0.00,     60.00,   1055.00,    951.00,   2000.00,    898.00,    152.00
1761030159.88,      0.00,     60.00,   1055.00,    351.00,    859.00,   1021.00,    158.00
1761030159.97,    -30.00,     60.00,    914.00,    363.00,   1003.00,    631.00,    164.00
1761030160.08,      0.00,     60.00,   1052.00,    535.00,    497.00,   2000.00,    184.00
1761030160.18,      0.00,     60.00,    977.00,   1196.00,   1324.00,    680.00,    213.00
1761030160.28,      0.00,     60.00,   1071.00,    426.00,    824.00,    568.00,    181.00
1761030160.39,      0.00,     60.00,   1036.00,    905.00,   1034.00,   1758.00,    181.00
1761030160.49,     30.00,     60.00,   1108.00,    365.00,    929.00,   2000.00,    169.00
1761030160.58,     30.00,     60.00,    349.00,    527.00,    296.00,    958.00,    200.00
1761030160.69,      0.00,     60.00,    637.00,   2000.00,    750.00,   1157.00,    152.00
1761030160.78,      0.00,     60.00,   1463.00,    374.00,    649.00,    551.00,    152.00
1761030160.87,      0.00,     60.00,   1136.00,    346.00,    575.00,    496.00,    240.00
1761030160.96,      0.00,     60.00,    808.00,    382.00,    989.00,    623.00,    191.00
1761030161.06,      0.00,     60.00,   1409.00,    297.00,    989.00,    787.00,    149.00
1761030161.15,     30.00,     60.00,   1220.00,    619.00,    833.00,    307.00,    149.00
